	Organism Name	Genome ID	Complete?	Assembly Level	Annotation Name	BUSCO	Reference genome?	Assembly Submission Date	Assembly Name	Assembly Accession Genbank	Assembly Accession RefSeq	Comments
1	Dromiciops gliroides	33562	-	Chromosome	NCBI Annotation Release 100	C:97.3%[S:93.5%,D:3.8%],F:0.6%,M:2.1%,n:9226	Yes	03/08/2021	mDroGli1.pri	GCA_019393635.1	GCF_019393635.1	
1	Dugong dugon	29137	-	Scaffold	-	-	Yes	18/02/2022	Dugong	GCA_905400935.1	-	
1	Echinops telfairi	9371	-	Scaffold	NCBI Annotation Release 103	C:93.5%[S:91.7%,D:1.8%],F:2.6%,M:3.9%,n:11366	Yes	15/07/2019	ASM31398v2	GCA_000313985.2	GCF_000313985.2	
1	Echymipera clara	65610	Partial	Contig	-	-	No	24/09/2021	ERS5079574 MarsupialExonCaptKit	GCA_904812085.1	-	Partial
1	Echymipera kalubu	42733	Partial	Contig	-	-	No	24/09/2021	ERS5079801 MarsupialExonCaptKit	GCA_904813385.1	-	Partial
1	Echymipera rufescens	65611	Partial	Contig	-	-	No	24/09/2021	ERS5079581 MarsupialExonCaptKit	GCA_904811145.1	-	Partial
1	Eidolon dupreanum	58063	-	Chromosome	-	-	Yes	16/02/2023	Eidolon_dupreanum_HiC	GCA_028627145.1	-	
1	Eidolon helvum	77214	-	Scaffold	-	-	Yes	13/09/2013	ASM46528v1	GCA_000465285.1	-	
1	Eira barbara	204263	-	Scaffold	-	-	Yes	05/10/2021	ASM2031127v1	GCA_020311275.1	-	
1	Elaphurus davidianus	43332	-	Scaffold	-	-	Yes	01/12/2021	miluL	GCA_021018665.1	-	
1	Elephantulus edwardii	28737	-	Scaffold	NCBI Annotation Release 100	C:96.4%[S:94.0%,D:2.4%],F:1.2%,M:2.4%,n:11366	Yes	10/10/2012	EleEdw1.0	GCA_000299155.1	GCF_000299155.1	
2	Elephas maximus  	9783	-	Scaffold	-	-	No	28/08/2020	ASM1433276v1	GCA_014332765.1	-	
-	Elephas maximus indicus	99487	-	Chromosome	NCBI Annotation Release 100	C:98.8%[S:98.1%,D:0.7%],F:0.3%,M:0.9%,n:11366	Yes	06/07/2022	mEleMax1 primary haplotype	GCA_024166365.1	GCF_024166365.1	
1	Ellobius lutescens	39086	-	Scaffold	-	-	Yes	14/07/2016	ASM168507v1	GCA_001685075.1	-	
1	Ellobius talpinus	329620	-	Scaffold	-	-	Yes	14/07/2016	ETalpinus_0.1	GCA_001685095.1	-	
3	Enhydra lutris kenyoni	391180	-	Scaffold	NCBI Annotation Release 100	C:99.1%[S:98.0%,D:1.1%],F:0.2%,M:0.7%,n:14502	Yes	11/09/2017	ASM228890v2	GCA_002288905.2	GCF_002288905.1	Higher species not available
-	Enhydra lutris nereis	1049777	-	Scaffold	-	-	No	24/06/2019	ASM641071v1	GCA_006410715.1	-	Higher species not available
1	Eonycteris spelaea	58065	-	Contig	-	-	Yes	07/09/2018	Espe.v1	GCA_003508835.1	-	
1	Eptesicus fuscus	29078	-	Scaffold	NCBI Annotation Release 101	C:96.3%[S:95.8%,D:0.5%],F:1.9%,M:1.8%,n:12234	Yes	08/11/2012	EptFus1.0	GCA_000308155.1	GCF_000308155.1	
1	Equus asinus	9793	-	Chromosome	NCBI Annotation Release 101	C:98.8%[S:97.8%,D:0.9%],F:0.5%,M:0.7%,n:12234	Yes	14/10/2021	ASM1607732v2	GCA_016077325.2	GCF_016077325.2	
1	Equus caballus	9796	-	Chromosome	NCBI Annotation Release 103	C:99.0%[S:97.9%,D:1.1%],F:0.3%,M:0.8%,n:12234	Yes	05/01/2018	EquCab3.0	GCA_002863925.1	GCF_002863925.1	
1	Equus przewalskii	9798	-	Scaffold	NCBI Annotation Release 100	C:92.0%[S:91.6%,D:0.3%],F:4.9%,M:3.1%,n:12234	Yes	05/06/2014	Burgud	GCA_000696695.1	GCF_000696695.1	
1	Equus quagga	89248	-	Chromosome	GCF_021613505.1-RS_2023_02	C:98.4%[S:94.9%,D:3.5%],F:0.5%,M:1.1%,n:12234	Yes	31/01/2022	UCLA_HA_Equagga_1.0	GCA_021613505.1	GCF_021613505.1	
1	Erethizon dorsatum	34844	-	Chromosome	-	-	Yes	06/02/2023	mEreDor1.pri	GCA_028451465.1	-	
1	Erinaceus europaeus	9365	-	Scaffold	NCBI Annotation Release 101	C:94.9%[S:93.9%,D:0.9%],F:2.0%,M:3.1%,n:12234	Yes	19/09/2012	EriEur2.0	GCA_000296755.1	GCF_000296755.1	
1	Erythrocebus patas	9538	-	Contig	-	-	Yes	17/06/2022	ASM2378345v1	GCA_023783455.1	-	
1	Eschrichtius robustus	9764	-	Chromosome	-	-	Yes	31/01/2023	mEscRob2.pri	GCA_028021215.1	-	
1	Eubalaena glacialis	27606	-	Chromosome	-	-	Yes	09/02/2023	mEubGla1.hap2	GCA_028564815.1	-	
1	Eubalaena japonica	302098	-	Scaffold	-	-	Yes	22/03/2019	EubJap_v1_BIUU	GCA_004363455.1	-	
1	Eudorcas thomsonii	69308	-	Scaffold	-	-	Yes	24/06/2019	TMG	GCA_006408755.1	-	
1	Eulemur flavifrons	87288	-	Scaffold	-	-	Yes	06/08/2015	Eflavifronsk33QCA	GCA_001262665.1	-	
1	Eulemur fulvus	13515	-	Scaffold	-	-	Yes	16/01/2019	EulFul_v1_BIUU	GCA_004027275.1	-	
1	Eulemur macaco	30602	-	Scaffold	-	-	Yes	06/08/2015	Emacaco_refEf_BWA_oneround	GCA_001262655.1	-	
1	Eulemur mongoz	34828	-	Chromosome	-	-	Yes	09/02/2023	Eulemur_mongoz_HiC	GCA_028534055.1	-	
1	Eumetopias jubatus	34886	-	Scaffold	NCBI Annotation Release 100	C:97.6%[S:95.6%,D:2.0%],F:0.7%,M:1.7%,n:14502	Yes	15/01/2019	ASM402803v1	GCA_004028035.1	GCF_004028035.1	
1	Felis catus	9685	-	Chromosome	NCBI Annotation Release 105	C:98.8%[S:98.1%,D:0.7%],F:0.2%,M:0.9%,n:14502	Yes	13/05/2021	F.catus_Fca126_mat1.0	GCA_018350175.1	GCF_018350175.1	Higher busco available
1	Felis chaus	61376	-	Chromosome	-	-	Yes	14/09/2021	FelChav1.0	GCA_019924945.1	-	
1	Felis nigripes	61379	-	Chromosome	-	-	Yes	09/02/2023	Felis_nigripes_HiC	GCA_028533295.1	-	
1	Fukomys damarensis	885580	-	Scaffold	NCBI Annotation Release 102	C:93.8%[S:93.0%,D:0.9%],F:3.2%,M:3.0%,n:13798	Yes	13/04/2020	DMR_v1.0_HiC	GCA_012274545.1	GCF_012274545.1	Higher busco available
1	Galago moholi	30609	-	Contig	-	-	Yes	17/06/2022	ASM2378343v1	GCA_023783435.1	-	
1	Galemys pyrenaicus	202257	-	Scaffold	Annotation submitted by Institute of Evolutionary Biology (CSIC-UPF)	-	Yes	05/08/2021	Gpyr_1.0	GCA_019455555.1	-	
1	Galeopterus variegatus	482537	-	Scaffold	NCBI Annotation Release 100	C:90.2%[S:88.2%,D:2.0%],F:6.4%,M:3.5%,n:12692	Yes	05/06/2014	G_variegatus-3.0.2	GCA_000696425.1	GCF_000696425.1	
2	Giraffa camelopardalis  	9894	-	Scaffold	-	-	No	24/06/2019	GFE	GCA_006408565.1	-	
-	Giraffa camelopardalis rothschildi	2740528	-	Chromosome	-	-	Yes	30/03/2021	ASM1759144v1	GCA_017591445.1	-	
1	Giraffa tippelskirchi	439328	-	Chromosome	-	-	Yes	24/07/2020	ASM1349639v1	GCA_013496395.1	-	
1	Glaucomys volans	64683	-	Scaffold	-	-	Yes	28/10/2021	ASM2066280v1	GCA_020662805.1	-	
1	Glis glis	41261	-	Scaffold	-	-	Yes	16/01/2019	GliGli_v1_BIUU	GCA_004027185.1	-	
1	Globicephala melas	9731	-	Scaffold	NCBI Annotation Release 100	C:97.7%[S:96.7%,D:0.9%],F:0.8%,M:1.5%,n:13335	Yes	01/07/2019	ASM654740v1	GCA_006547405.1	GCF_006547405.1	
2	Gorilla gorilla  	9593	Partial	Contig	-	-	No	01/08/2017	GorY_WUR	GCA_900199665.1	-	Partial, genome of same quality available
-	Gorilla gorilla gorilla	9595	-	Chromosome	NCBI Annotation Release 102	C:95.9%[S:95.3%,D:0.6%],F:0.7%,M:3.3%,n:13780	Yes	28/08/2019	Kamilah_GGO_v0	GCA_008122165.1	GCF_008122165.1	
1	Gracilinanus agilis	191870	-	Chromosome	NCBI Annotation Release 100	C:90.4%[S:87.8%,D:2.7%],F:3.2%,M:6.4%,n:9226	Yes	06/01/2021	AgileGrace	GCA_016433145.1	GCF_016433145.1	
1	Grammomys dolichurus	491754	-	Scaffold	-	-	Yes	01/09/2021	ASM1984383v1	GCA_019843835.1	-	
1	Grammomys surdaster	491861	-	Scaffold	NCBI Annotation Release 100	C:98.2%[S:96.6%,D:1.6%],F:1.0%,M:0.8%,n:13798	Yes	12/04/2019	NIH_TR_1.0	GCA_004785775.1	GCF_004785775.1	
1	Grampus griseus	83653	-	Chromosome	-	-	Yes	16/02/2023	Grampus_griseus_HiC	GCA_028646425.1	-	
1	Graphiurus murinus	51346	-	Scaffold	-	-	Yes	16/01/2019	GraMur_v1_BIUU	GCA_004027655.1	-	
2	Gulo gulo  	48420	-	Scaffold	-	-	No	08/12/2018	Gulo_2.2_annotated	GCA_900006375.2	-	
-	Gulo gulo luscus	2888765	-	Scaffold	Annotation submitted by The Hospital for Sick Children	-	Yes	04/08/2022	Gulo_gulo_luscus_R-V1.0	GCA_024510155.1	-	
1	Gymnobelideus leadbeateri	38618	-	Scaffold	-	-	Yes	23/03/2020	LBP_v1	GCA_011680675.1	-	
1	Halichoerus grypus	9711	-	Scaffold	NCBI Annotation Release 100	C:94.1%[S:91.9%,D:2.2%],F:2.0%,M:3.9%,n:14502	Yes	15/04/2020	Tufts_HGry_1.1	GCA_012393455.1	GCF_012393455.1	
1	Helarctos malayanus	9634	-	Chromosome	-	-	Yes	09/02/2023	Helarctos_malayanus_HiC	GCA_028533245.1	-	
1	Helogale parvula	210647	-	Scaffold	-	-	Yes	15/01/2019	HelPar_v1_BIUU	GCA_004023845.1	-	
1	Hemibelideus lemuroides	596256	Partial	Contig	-	-	No	24/09/2021	ERS5079545 MarsupialExonCaptKit	GCA_904810875.1	-	Partial
1	Hemitragus hylocrius	330464	-	Scaffold	-	-	Yes	16/01/2019	HemHyl_v1_BIUU	GCA_004026825.1	-	
1	Heterocephalus glaber	10181	-	Scaffold	NCBI Annotation Release 102	C:97.9%[S:96.6%,D:1.2%],F:0.7%,M:1.4%,n:13798	Yes	17/02/2012	HetGla_female_1.0	GCA_000247695.1	GCF_000247695.1	
1	Heterohyrax brucei	77598	-	Chromosome	-	-	Yes	10/02/2023	mHetBru1.pri	GCA_028571685.1	-	
1	Hexaprotodon liberiensis	56798	-	Chromosome	-	-	Yes	22/04/2022	ASM2306576v1	GCA_023065765.1	-	
1	Hippopotamus amphibius	9833	-	Chromosome	-	-	Yes	22/04/2022	ASM2306583v1	GCA_023065835.1	-	
1	Hipposideros armiger	186990	-	Scaffold	NCBI Annotation Release 100	C:93.1%[S:92.5%,D:0.6%],F:3.9%,M:3.0%,n:12234	Yes	06/12/2016	ASM189008v1	GCA_001890085.1	GCF_001890085.1	
1	Hipposideros galeritus	58069	-	Scaffold	-	-	Yes	16/01/2019	HipGal_v1_BIUU	GCA_004027415.1	-	
1	Hipposideros pendleburyi	867831	-	Scaffold	-	-	Yes	14/01/2022	ASM2146454v1	GCA_021464545.1	-	
1	Hippotragus equinus	37186	-	Scaffold	-	-	Yes	29/12/2020	ASM1643309v1	GCA_016433095.1	-	
3	Hippotragus niger niger	82127	-	Scaffold	-	-	Yes	12/07/2019	SCBI_HNig_1.0	GCA_006942125.1	-	Higher species not available
1	Homo sapiens	9606	-	Chromosome	NCBI Annotation Release 110	C:99.2%[S:98.5%,D:0.7%],F:0.1%,M:0.6%,n:13780	Yes	03/02/2022	GRCh38.p14	GCA_000001405.29	GCF_000001405.40	Higher busco available
1	Hoolock leuconedys	593543	-	Scaffold	-	-	Yes	16/06/2022	ASM2374817v1	GCA_023748175.1	-	
1	Hyaena hyaena	95912	-	Scaffold	NCBI Annotation Release 100	C:97.5%[S:96.3%,D:1.2%],F:0.6%,M:1.9%,n:14502	Yes	19/03/2018	ASM300989v1	GCA_003009895.1	GCF_003009895.1	
1	Hydrochoerus hydrochaeris	10149	-	Scaffold	-	-	Yes	16/01/2019	HydHyd_v1_BIUU	GCA_004027455.1	-	
1	Hydrodamalis gigas	63631	-	Scaffold	-	-	Yes	08/07/2020	H_Gigas_1.0	GCA_013391785.1	-	
1	Hydropotes inermis	9883	-	Chromosome	-	-	Yes	05/10/2021	ASM2022607v1	GCA_020226075.1	-	
1	Hylobates moloch	81572	-	Scaffold	NCBI Annotation Release 101	C:97.3%[S:94.3%,D:3.0%],F:1.2%,M:1.6%,n:13780	Yes	13/02/2020	HMol_V2	GCA_009828535.2	GCF_009828535.2	
1	Hylobates pileatus	9589	-	Chromosome	-	-	Yes	19/01/2022	ASM2149846v1	GCA_021498465.1	-	
1	Hylomyscus alleni	34858	-	Scaffold	-	-	Yes	01/09/2021	ASM1984385v1	GCA_019843855.1	-	
1	Hyperoodon ampullatus	48744	-	Scaffold	-	-	Yes	21/07/2022	DAL_HAmp_1	GCA_024363105.1	-	
1	Hypsiprymnodon moschatus	65631	Partial	Contig	-	-	No	24/09/2021	ERS5079805 MarsupialExonCaptKit	GCA_904813425.1	-	Partial
1	Hystrix brachyura	143286	-	Scaffold	-	-	Yes	02/02/2021	DSBC_Hbra_1.0	GCA_016801275.1	-	
1	Hystrix cristata	10137	-	Scaffold	-	-	Yes	16/01/2019	HysCri_v1_BIUU	GCA_004026905.1	-	
1	Ia io	360967	-	Scaffold	-	-	Yes	05/10/2022	NENU_Iio_1.0	GCA_025583905.1	-	
1	Ictidomys tridecemlineatus	43179	-	Chromosome	NCBI Annotation Release 103, Annotation submitted by Stanford University School of Medicine	C:96.4%[S:95.0%,D:1.4%],F:1.8%,M:1.8%,n:13798	Yes	17/02/2021	HiC_Itri_2	GCA_016881025.1	GCF_016881025.1	Higher busco available
1	Indri indri	34827	-	Scaffold	-	-	Yes	22/03/2019	IndInd_v1_BIUU	GCA_004363605.1	-	
1	Inia geoffrensis	9725	-	Scaffold	-	-	Yes	22/03/2019	IniGeo_v1_BIUU	GCA_004363515.1	-	
3	Isoodon auratus auratus	1031270	Partial	Contig	-	-	No	28/01/2021	ERS5079591 MarsupialExonCaptKit	GCA_904811175.1	-	Partial, higher species not available, genome same quality available
-	Isoodon auratus barrowensis	120736	Partial	Contig	-	-	No	28/01/2021	ERS5079592 MarsupialExonCaptKit	GCA_904811015.1	-	Partial, higher species not available
1	Isoodon fusciventer	120743	Partial	Contig	-	-	No	24/09/2021	ERS5079593 MarsupialExonCaptKit	GCA_904811005.1	-	Partial
1	Isoodon macrourus	37698	Partial	Contig	-	-	No	24/09/2021	ERS5079680 MarsupialExonCaptKit	GCA_904812165.1	-	Partial
1	Isoodon obesulus	65612	Partial	Contig	-	-	No	24/09/2021	ERS5079672 MarsupialExonCaptKit	GCA_904811945.1	-	Partial
1	Jaculus jaculus	51337	-	Chromosome	NCBI Annotation Release 102	C:97.9%[S:94.0%,D:4.0%],F:0.4%,M:1.6%,n:13798	Yes	04/11/2021	mJacJac1.mat.Y.cur	GCA_020740685.1	GCF_020740685.1	
1	Kobus ellipsiprymnus	9962	-	Scaffold	-	-	Yes	24/06/2019	DFW	GCA_006410655.1	-	
3	Kobus leche leche	91880	-	Scaffold	-	-	Yes	23/10/2020	Klec_v1.0	GCA_014926565.1	-	Higher species not available
1	Kogia breviceps	27615	-	Chromosome	-	-	Yes	27/11/2022	mKogBre1 haplotype 1	GCA_026419965.1	-	
3	Lagenorhynchus obliquidens	90247	-	Scaffold	NCBI Annotation Release 100	C:98.0%[S:97.2%,D:0.7%],F:0.8%,M:1.3%,n:13335	Yes	23/10/2018	ASM367639v1	GCA_003676395.1	GCF_003676395.1	
1	Lagorchestes conspicillatus	65624	Partial	Contig	-	-	No	24/09/2021	ERS5079548 MarsupialExonCaptKit	GCA_904810835.1	-	Partial
1	Lagorchestes hirsutus	65632	-	Chromosome	-	-	Yes	09/02/2023	Lagorchestes_hirsutus_HiC	GCA_028533205.1	-	
1	Lagostrophus fasciatus	65634	Partial	Contig	-	-	No	24/09/2021	ERS5079595 MarsupialExonCaptKit	GCA_904811075.1	-	Partial
2	Lama glama  	9844	-	Chromosome	-	-	No	09/02/2023	Lama_glama_HiC	GCA_028534125.1	-	
-	Lama glama chaku	273914	-	Scaffold	-	-	Yes	02/06/2020	ASM1323958v1	GCA_013239585.1	-	
3	Lama guanicoe cacsilensis	273908	-	Scaffold	-	-	Yes	02/06/2020	ASM1323962v1	GCA_013239625.1	-	Higher species not available
1	Lasiorhinus latifrons	30668	Partial	Contig	-	-	No	24/09/2021	ERS5079778 MarsupialExonCaptKit	GCA_904813145.1	-	Partial
1	Lasiurus borealis	258930	-	Scaffold	-	-	Yes	16/01/2019	LasBor_v1_BIUU	GCA_004026805.1	-	
1	Lemur catta	9447	-	Chromosome	NCBI Annotation Release 100	C:96.9%[S:95.5%,D:1.4%],F:0.5%,M:2.7%,n:13780	Yes	04/11/2021	mLemCat1.pri	GCA_020740605.1	GCF_020740605.2	
1	Leontopithecus rosalia	30588	-	Chromosome	-	-	Yes	09/02/2023	Leontopithecus_rosalia_HiC	GCA_028533165.1	-	Higher species not available
1	Leopardus geoffroyi	46844	-	Chromosome	NCBI Annotation Release 100	C:99.0%[S:98.3%,D:0.7%],F:0.2%,M:0.8%,n:14502	Yes	13/05/2021	O.geoffroyi_Oge1_pat1.0	GCA_018350155.1	GCF_018350155.1	
1	Leptonychotes weddellii	9713	-	Scaffold	NCBI Annotation Release 101	C:84.4%[S:83.3%,D:1.0%],F:9.5%,M:6.1%,n:14502	Yes	29/03/2013	LepWed1.0	GCA_000349705.1	GCF_000349705.1	
1	Lepus americanus	48086	-	Scaffold	-	-	Yes	16/01/2019	LepAme_v1_BIUU	GCA_004026855.1	-	
1	Lepus timidus	62621	-	Chromosome	-	-	Yes	17/12/2019	CIBIO-ISEM_LeTim_1.1	GCA_009760805.1	-	
1	Lipotes vexillifer	118797	-	Scaffold	NCBI eukaryotic genome annotation pipeline	-	Yes	24/07/2013	Lipotes_vexillifer_v1.1	GCA_000442215.2	GCF_000442215.2	
1	Litocranius walleri	69311	-	Scaffold	-	-	Yes	24/06/2019	GRK	GCA_006410535.1	-	
1	Lontra canadensis	76717	-	Scaffold	NCBI Annotation Release 100	C:98.6%[S:96.3%,D:2.3%],F:0.4%,M:1.0%,n:14502	Yes	27/01/2020	GSC_riverotter_1.0	GCA_010015895.1	GCF_010015895.1	
1	Lophiomys imhausi	248799	-	Scaffold	-	-	Yes	03/06/2021	mLopImh1.curated_primary_1811	GCA_907164525.1	-	
1	Lophocebus aterrimus	75566	-	Contig	-	-	Yes	17/06/2022	ASM2378323v1	GCA_023783235.1	-	
1	Loris tardigradus	9468	-	Contig	-	-	Yes	17/06/2022	ASM2378313v1	GCA_023783135.1	-	
1	Loxodonta africana	9785	-	Scaffold	NCBI Annotation Release 102	C:95.3%[S:94.7%,D:0.6%],F:2.1%,M:2.7%,n:11366	Yes	15/07/2009	Loxafr3.0	GCA_000001905.1	GCF_000001905.1	
1	Lutra lutra	9657	-	Chromosome	GCF_902655055.1-RS_2023_02	C:98.2%[S:95.4%,D:2.8%],F:0.3%,M:1.5%,n:14502	Yes	31/07/2020	mLutLut1.2	GCA_902655055.2	GCF_902655055.1	
1	Lycaon pictus	9622	-	Scaffold	-	-	Yes	20/02/2019	sis1-161031-pseudohap	GCA_004216515.1	-	
1	Lynx canadensis	61383	-	Chromosome	NCBI Annotation Release 102	C:97.4%[S:96.5%,D:0.9%],F:0.5%,M:2.1%,n:14502	Yes	14/07/2020	mLynCan4.pri.v2	GCA_007474595.2	GCF_007474595.2	
1	Lynx pardinus	191816	-	Scaffold	Annotation submitted by CNAG	C:98.1%[S:92.4%,D:5.7%],F:0.5%,M:1.5%,n:14502	Yes	28/03/2019	LYPA1.0	GCA_900661375.1	-	
1	Lynx rufus	61384	-	Scaffold	GCF_022079265.1-RS_2023_02	C:98.6%[S:97.7%,D:1.0%],F:0.3%,M:1.0%,n:14502	Yes	08/02/2022	mLynRuf1.p	GCA_022079265.1	GCF_022079265.1	
1	Macaca arctoides	9540	-	Scaffold	-	-	Yes	15/12/2021	Marc_1.0	GCA_021188215.1	-	
1	Macaca assamensis	9551	-	Contig	-	-	Yes	17/06/2022	ASM2378309v1	GCA_023783095.1	-	
1	Macaca cyclopis	78449	-	Chromosome	-	-	Yes	19/12/2022	MCyc01	GCA_026956025.1	-	
1	Macaca fascicularis	9541	-	Chromosome	NCBI Annotation Release 102	C:98.6%[S:97.4%,D:1.2%],F:0.3%,M:1.1%,n:13780	Yes	26/10/2021	MFA1912RKSv2	GCA_012559485.3	GCF_012559485.2	
3	Macaca fuscata fuscata	9543	-	Contig	-	-	Yes	04/04/2018	macFus_1.0	GCA_003118495.1	-	Higher species not available
1	Macaca mulatta	9544	-	Chromosome	NCBI Annotation Release 103	C:99.3%[S:98.5%,D:0.8%],F:0.2%,M:0.4%,n:13780	Yes	13/02/2019	Mmul_10	GCA_003339765.3	GCF_003339765.1	
1	Macaca nemestrina	9545	-	Scaffold	NCBI Annotation Release 101	C:98.8%[S:98.4%,D:0.4%],F:0.7%,M:0.5%,n:13780	Yes	19/03/2015	Mnem_1.0	GCA_000956065.1	GCF_000956065.1	
1	Macaca nigra	54600	-	Scaffold	-	-	Yes	09/02/2022	mMacNir1.1	GCA_928851695.1	-	
1	Macaca silenus	54601	-	Contig	-	-	Yes	20/06/2022	ASM2380736v1	GCA_023807365.1	-	
3	Macaca thibetana thibetana	257877	-	Chromosome	NCBI Annotation Release 100	C:98.9%[S:97.6%,D:1.3%],F:0.2%,M:0.8%,n:13780	Yes	09/08/2022	ASM2454274v1	GCA_024542745.1	GCF_024542745.1	Higher species not available
1	Macroglossus sobrinus	326083	-	Scaffold	-	-	Yes	16/01/2019	MacSob_v1_BIUU	GCA_004027375.1	-	
1	Macropus fuliginosus	9316	-	Chromosome	-	-	Yes	10/02/2023	mf-2k	GCA_028583105.1	-	
1	Macropus giganteus	9317	-	Chromosome	-	-	Yes	16/02/2023	mg-2k	GCA_028627215.1	-	
1	Macrotis lagotis	92651	Partial	Contig	-	-	No	24/09/2021	ERS5079777 MarsupialExonCaptKit	GCA_904813115.1	-	Partial
1	Macrotus californicus	9419	-	Scaffold	-	-	Yes	08/08/2019	MacCal_v1_BIUU	GCA_007922815.1	-	
1	Madoqua kirkii	66434	-	Scaffold	-	-	Yes	24/06/2019	KDD	GCA_006408675.1	-	
1	Mandrillus leucophaeus	9568	-	Scaffold	NCBI Annotation Release 100	C:95.1%[S:94.6%,D:0.5%],F:3.2%,M:1.7%,n:13780	Yes	12/03/2015	Mleu.le_1.0	GCA_000951045.1	GCF_000951045.1	
1	Mandrillus sphinx	9561	-	Contig	-	-	Yes	17/06/2022	ASM2378308v1	GCA_023783085.1	-	
1	Manis crassicaudata	1496684	-	Scaffold	-	-	Yes	02/02/2021	DSBC_Mcra_1.0	GCA_016801295.1	-	
1	Manis javanica	9974	-	Scaffold	NCBI Annotation Release 101	C:95.5%[S:93.5%,D:2.0%],F:1.9%,M:2.7%,n:12234	Yes	15/09/2020	YNU_ManJav_2.0	GCA_014570535.1	GCF_014570535.1	
1	Manis pentadactyla	143292	-	Scaffold	NCBI Annotation Release 100	C:96.8%[S:95.2%,D:1.6%],F:1.0%,M:2.2%,n:12234	Yes	15/09/2020	YNU_ManPten_2.0	GCA_014570555.1	GCF_014570555.1	
1	Marmota flaviventris	93162	-	Scaffold	NCBI eukaryotic genome annotation pipeline	-	Yes	24/05/2019	GSC_YBM_2.1	GCA_003676075.3	GCF_003676075.3	
1	Marmota himalayana	93163	-	Scaffold	-	-	Yes	10/05/2019	ASM528016v1	GCA_005280165.1	-	
3	Marmota marmota marmota	9994	-	Scaffold	NCBI Annotation Release 101	C:94.9%[S:92.8%,D:2.1%],F:2.6%,M:2.5%,n:13798	Yes	18/12/2019	marMar	GCA_001458135.2	GCF_001458135.2	Higher species not available
1	Marmota monax	9995	-	Scaffold	NCBI Annotation Release 100, Annotation submitted by Hospital for Sick Children	C:99.0%[S:95.3%,D:3.7%],F:0.4%,M:0.7%,n:13798	Yes	15/12/2021	Marmota_monax_Labrador192_V1.0	GCF_021218885.1	GCF_021218885.1	
1	Marmota vancouverensis	93167	-	Scaffold	-	-	Yes	16/05/2019	GSC_VIM_1.0	GCA_005458795.1	-	
1	Martes zibellina	36722	-	Scaffold	-	-	Yes	20/04/2020	ASM1258336v1	GCA_012583365.1	-	
1	Mastomys coucha	35658	-	Chromosome	NCBI Annotation Release 100	C:97.9%[S:97.4%,D:0.5%],F:0.8%,M:1.3%,n:13798	Yes	24/09/2019	UCSF_Mcou_1	GCA_008632895.1	GCF_008632895.1	
1	Mastomys natalensis	10112	-	Contig	-	-	Yes	27/01/2022	UFL_Mnatal_1.0	GCA_021653895.1	-	
1	Megaderma lyra	9413	-	Scaffold	-	-	Yes	16/01/2019	MegLyr_v1_BIUU	GCA_004026885.1	-	
1	Megaloceros giganteus	227166	-	Scaffold	-	-	No	15/11/2022	ERS5330600	GCA_905120125.1	-	Genome length too small
1	Megaptera novaeangliae	9773	-	Scaffold	-	-	Yes	06/03/2019	megNov1	GCA_004329385.1	-	
1	Meles meles	9662	-	Chromosome	NCBI Annotation Release 100	C:98.8%[S:96.3%,D:2.4%],F:0.2%,M:1.0%,n:14502	Yes	19/12/2021	mMelMel3.1 paternal haplotype	GCA_922984935.1	GCF_922984935.1	
1	Mellivora capensis	9664	-	Scaffold	-	-	Yes	15/01/2019	MelCap_v1_BIUU	GCA_004024625.1	-	
1	Meriones unguiculatus	10047	-	Scaffold	NCBI Annotation Release 100	C:94.1%[S:89.3%,D:4.8%],F:3.6%,M:2.4%,n:13798	Yes	21/06/2017	MunDraft-v1.0	GCA_002204375.1	GCF_002204375.1	
1	Mesocricetus auratus	10036	-	Scaffold	NCBI Annotation Release 103	C:99.4%[S:97.9%,D:1.5%],F:0.2%,M:0.4%,n:13798	Yes	30/03/2021	BCM_Maur_2.0	GCA_017639785.1	GCF_017639785.1	
1	Mesoplodon bidens	48745	-	Scaffold	-	-	Yes	16/01/2019	MesBid_v1_BIUU	GCA_004027085.1	-	
1	Mesoplodon densirostris	48708	-	Chromosome	-	-	Yes	19/09/2022	mMesDen1 primary haplotype	GCA_025265405.1	-	
1	Microcebus griseorufus	143354	-	Scaffold	-	-	Yes	30/09/2019	Mgri_1.0	GCA_008750995.1	-	
1	Microcebus mittermeieri	236274	-	Scaffold	-	-	Yes	30/09/2019	Mmit_1.0	GCA_008750955.1	-	
1	Microcebus murinus	30608	-	Chromosome	NCBI Annotation Release 101	C:97.8%[S:96.4%,D:1.4%],F:0.9%,M:1.3%,n:13780	Yes	06/02/2017	Mmur_3.0	GCA_000165445.3	GCF_000165445.2	
1	Microcebus ravelobensis	122231	-	Scaffold	-	-	Yes	30/09/2019	Mrav_1.0	GCA_008750975.1	-	
1	Microcebus sp. 3 GT-2019	2508170	-	Scaffold	-	-	Yes	30/09/2019	Mjon_1.0	GCA_008750915.1	-	
1	Microcebus tavaratra	143351	-	Scaffold	-	-	Yes	30/09/2019	Mtav_1.0	GCA_008750935.1	-	
1	Microgale talazaci	2583312	-	Scaffold	-	-	Yes	16/01/2019	MicTal_v1_BIUU	GCA_004026705.1	-	
1	Micronycteris hirsuta	148065	-	Scaffold	-	-	Yes	16/01/2019	MicHir_v1_BIUU	GCA_004026765.1	-	
